Gene,Coordinates,F1 N2 normalized reads,F1 morc-1(-) normalized reads,Log2(fold change),Adjusted p-value
Y48G1C.8,CHROMOSOME_I:101212-108161,23.72,15.69,-0.60,0.0264
F56C9.10,CHROMOSOME_III:7329655-7335064,67.96,44.96,-0.60,0.0133
R01H10.7,CHROMOSOME_III:10261666-10267290,19.78,13.09,-0.60,0.0328
Y37E11B.4,CHROMOSOME_IV:3584308-3593610,8.46,5.61,-0.59,0.0427
W02D9.1,CHROMOSOME_I:12528301-12532172,60.16,39.88,-0.59,0.0290
R02D3.2,CHROMOSOME_IV:240551-244129,27.43,18.19,-0.59,0.0346
W07E6.4,CHROMOSOME_II:484865-490404,33.79,22.41,-0.59,0.0318
F22B5.7,CHROMOSOME_II:8457766-8464514,57.95,38.45,-0.59,0.0145
C16C10.3,CHROMOSOME_III:4172310-4176135,215.62,143.06,-0.59,0.0133
F25H5.3,CHROMOSOME_I:9168416-9177490,188.17,124.90,-0.59,0.0181
C15C6.3,CHROMOSOME_I:12207085-12212197,22.34,14.87,-0.59,0.0489
F39B2.4,CHROMOSOME_I:14777126-14787793,16.25,10.82,-0.59,0.0245
C01C7.1,CHROMOSOME_IV:12622060-12630999,10.95,7.29,-0.59,0.0482
R01H10.8,CHROMOSOME_III:10271165-10278488,18.73,12.48,-0.59,0.0328
W04A8.7,CHROMOSOME_I:13861455-13887641,14.87,9.91,-0.59,0.0170
Y57A10A.18,CHROMOSOME_II:12203244-12221724,79.35,52.93,-0.58,0.0245
F15E6.1,CHROMOSOME_IV:4307751-4317253,15.38,10.27,-0.58,0.0273
F58D5.4,CHROMOSOME_I:12047330-12059791,17.64,11.80,-0.58,0.0435
F28H1.3,CHROMOSOME_I:3983173-3986918,106.05,70.95,-0.58,0.0170
R74.8,CHROMOSOME_III:4206250-4208239,118.11,79.02,-0.58,0.0192
Y113G7A.3,CHROMOSOME_V:20091229-20120644,68.55,45.91,-0.58,0.0396
Y67D8C.5,CHROMOSOME_IV:3032763-3050100,65.34,43.75,-0.58,0.0214
C47D12.6,CHROMOSOME_II:11688905-11695998,167.60,112.35,-0.58,0.0181
ZK1058.1,CHROMOSOME_III:3903093-3907669,58.50,39.25,-0.58,0.0225
F52C12.4,CHROMOSOME_IV:1923570-1946203,10.25,6.88,-0.58,0.0255
D1054.11,CHROMOSOME_V:10793774-10794904,523.47,353.01,-0.57,0.0133
C41C4.6,CHROMOSOME_II:8129907-8133210,138.09,93.23,-0.57,0.0273
Y102A5A.1,CHROMOSOME_V:16802851-16814541,56.49,38.16,-0.57,0.0245
C18D11.3,CHROMOSOME_III:11823347-11824426,130.77,88.36,-0.57,0.0264
K01G5.7,CHROMOSOME_III:10740765-10742362,489.05,330.63,-0.56,0.0145
T01B7.6,CHROMOSOME_II:8722423-8725465,47.31,32.02,-0.56,0.0309
F38E11.5,CHROMOSOME_IV:9459713-9463372,86.21,58.36,-0.56,0.0255
F36A4.7,CHROMOSOME_IV:4248060-4258166,46.49,31.48,-0.56,0.0236
F28B3.8,CHROMOSOME_I:4918392-4926236,59.75,40.49,-0.56,0.0380
C09G4.2,CHROMOSOME_IV:8520880-8538160,50.69,34.36,-0.56,0.0457
W08E12.7,CHROMOSOME_IV:3295131-3297179,396.67,268.92,-0.56,0.0214
Y37E3.17,CHROMOSOME_I:2128592-2145971,77.82,52.79,-0.56,0.0236
T10C6.6,CHROMOSOME_V:16024305-16027433,47.98,32.55,-0.56,0.0427
F40F12.5,CHROMOSOME_III:9898513-9910569,55.00,37.32,-0.56,0.0245
F27D9.5,CHROMOSOME_X:7657466-7660937,64.66,43.97,-0.56,0.0309
C39E9.12,CHROMOSOME_IV:13093980-13095467,89.50,60.87,-0.56,0.0328
Y6B3A.1,CHROMOSOME_I:13603888-13626214,22.94,15.60,-0.56,0.0214
F01G4.4,CHROMOSOME_IV:11143321-11145997,31.66,21.54,-0.56,0.0403
R09F10.8,CHROMOSOME_X:8325052-8326400,83.61,56.88,-0.56,0.0290
ZK550.3,CHROMOSOME_IV:17250093-17254927,57.57,39.17,-0.56,0.0225
Y77E11A.11,CHROMOSOME_IV:1435465-1446026,27.82,18.93,-0.56,0.0435
C07G1.4,CHROMOSOME_IV:8188887-8198937,32.62,22.20,-0.55,0.0435
T13F2.3,CHROMOSOME_IV:9791919-9796569,18.05,12.29,-0.55,0.0476
F26F4.7,CHROMOSOME_III:4894610-4899049,52.95,36.07,-0.55,0.0346
Y75B7AL.4,CHROMOSOME_V:1373588-1383239,40.29,27.45,-0.55,0.0464
M57.2,CHROMOSOME_IV:3527347-3532819,36.11,24.65,-0.55,0.0365
T23H2.3,CHROMOSOME_I:6441634-6446466,45.79,31.29,-0.55,0.0346
T26E3.3,CHROMOSOME_I:12669367-12674439,34.84,23.85,-0.55,0.0471
Y81G3A.3,CHROMOSOME_II:13083948-13091430,15.53,10.66,-0.54,0.0374
C47G2.5,CHROMOSOME_II:11297635-11301198,58.38,40.14,-0.54,0.0374
F58E10.3,CHROMOSOME_V:14008732-14012203,279.14,191.96,-0.54,0.0337
F55A12.1,CHROMOSOME_I:5368480-5372646,42.23,29.07,-0.54,0.0389
T24D1.1,CHROMOSOME_I:9947795-9953341,75.34,51.88,-0.54,0.0264
Y39A1B.3,CHROMOSOME_III:10763047-10777243,20.64,14.21,-0.54,0.0450
C27C7.1,CHROMOSOME_I:11439276-11440700,122.17,84.14,-0.54,0.0497
Y37A1B.1,CHROMOSOME_IV:14071349-14076719,83.71,57.67,-0.54,0.0420
Y18D10A.11,CHROMOSOME_I:12861961-12863522,160.93,111.00,-0.54,0.0471
F43C1.2,CHROMOSOME_III:4216742-4228067,65.06,44.97,-0.53,0.0337
Y71H2AM.19,CHROMOSOME_III:2770497-2779045,76.46,52.87,-0.53,0.0374
M110.5,CHROMOSOME_II:8226081-8229100,144.38,99.93,-0.53,0.0403
Y75B8A.24,CHROMOSOME_III:12251390-12273598,27.64,19.14,-0.53,0.0403
Y73B6A.5,CHROMOSOME_IV:6742526-6748413,51.73,35.85,-0.53,0.0396
H20J04.2,CHROMOSOME_II:4340154-4350988,23.24,16.11,-0.53,0.0471
Y43H11AL.3,CHROMOSOME_II:240716-255182,32.04,22.24,-0.53,0.0464
T05F1.6,CHROMOSOME_I:9626251-9630839,114.43,79.52,-0.53,0.0450
C10F3.1,CHROMOSOME_V:5996339-5999329,72.56,50.55,-0.52,0.0450
R06F6.1,CHROMOSOME_II:10785390-10787206,121.25,84.47,-0.52,0.0464
Y53C12A.1,CHROMOSOME_II:9713601-9716410,97.55,67.98,-0.52,0.0374
T21E12.4,CHROMOSOME_I:4386787-4404586,72.21,50.39,-0.52,0.0396
C14C10.5,CHROMOSOME_V:12600267-12607287,78.16,54.54,-0.52,0.0337
F56D1.7,CHROMOSOME_II:5456287-5458599,188.29,131.46,-0.52,0.0412
ZC513.6,CHROMOSOME_V:8029417-8031194,380.15,265.58,-0.52,0.0412
Y54F10BM.2,CHROMOSOME_III:2314424-2331173,49.85,34.83,-0.52,0.0489
F57B10.1,CHROMOSOME_I:6574002-6587883,54.65,38.27,-0.51,0.0471
T21B10.7,CHROMOSOME_II:8927674-8929753,216.99,152.05,-0.51,0.0309
ZC434.8,CHROMOSOME_I:10348039-10349636,170.47,119.49,-0.51,0.0374
F20H11.3,CHROMOSOME_III:6606196-6608060,301.54,211.43,-0.51,0.0427
R10E11.1,CHROMOSOME_III:9766429-9774721,33.30,23.35,-0.51,0.0497
W03D2.4,CHROMOSOME_IV:4047921-4049443,588.91,414.00,-0.51,0.0497
T24B8.7,CHROMOSOME_II:9042714-9053603,36.78,25.94,-0.50,0.0396
F52E4.1,CHROMOSOME_X:3089485-3094362,109.06,76.94,-0.50,0.0471
F48E8.5,CHROMOSOME_III:5450066-5453099,166.06,117.43,-0.50,0.0476
F28B4.3,CHROMOSOME_X:3227476-3235396,75.06,59.92,-0.48,0.0482
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
