Gene,Coordinates,F4 N2 normalized reads,F4 morc-1(-) normalized reads,Log2(fold change),Adjusted p-value
D2030.4,CHROMOSOME_I:7580932-7581626,402.57,228.88,-0.81,0.0101
M02F4.7,CHROMOSOME_X:3031712-3033193,24.34,13.85,-0.81,0.0441
Y75B8A.27,CHROMOSOME_III:12307677-12311810,14.73,8.39,-0.81,0.0392
F10E9.12,CHROMOSOME_III:8324612-8325537,85.32,48.62,-0.81,0.0220
K03H1.10,CHROMOSOME_III:9923083-9924705,39.48,22.50,-0.81,0.0182
Y39G8B.1,CHROMOSOME_II:13970508-13972872,79.76,45.57,-0.81,0.0186
F17C11.11,CHROMOSOME_V:10937613-10938821,177.13,101.20,-0.81,0.0095
Y94H6A.10,CHROMOSOME_IV:2709897-2710668,159.66,91.22,-0.81,0.0156
F09E10.3,CHROMOSOME_X:1486496-1489324,57.43,32.83,-0.81,0.0182
R01B10.1,CHROMOSOME_V:6044042-6047891,1043.30,596.68,-0.81,0.0178
W02D9.7,CHROMOSOME_I:12559264-12559662,796.71,455.69,-0.81,0.0141
F35B12.7,CHROMOSOME_V:11616264-11618248,73.96,42.35,-0.80,0.0452
Y45F10C.4,CHROMOSOME_IV:13663374-13664167,831.59,476.21,-0.80,0.0095
W10C8.5,CHROMOSOME_I:2853971-2855736,54.48,31.20,-0.80,0.0169
Y62H9A.5,CHROMOSOME_X:11882046-11882849,1619.04,927.17,-0.80,0.0463
T05A7.4,CHROMOSOME_II:4672794-4673744,155.71,89.30,-0.80,0.0319
R12H7.2,CHROMOSOME_X:13217031-13221400,821.60,471.46,-0.80,0.0246
F35C5.5,CHROMOSOME_II:12892994-12895031,104.53,60.08,-0.80,0.0132
F23H11.5,CHROMOSOME_III:909978-910716,1717.89,990.11,-0.79,0.0117
K10B3.7,CHROMOSOME_X:3112072-3113372,790.16,455.43,-0.79,0.0151
F10A3.17,CHROMOSOME_V:16158650-16159761,15.62,9.01,-0.79,0.0436
F26E4.6,CHROMOSOME_I:9773160-9774007,766.63,442.16,-0.79,0.0123
T15B7.4,CHROMOSOME_V:6831145-6832237,65.56,37.85,-0.79,0.0238
R53.4,CHROMOSOME_II:9967210-9967997,2677.37,1545.86,-0.79,0.0387
F15B9.1,CHROMOSOME_V:12995585-12997509,186.40,107.68,-0.79,0.0213
F43C11.7,CHROMOSOME_II:2335937-2337699,59.49,34.37,-0.79,0.0238
F55B11.4,CHROMOSOME_IV:14429545-14430895,122.89,71.00,-0.79,0.0224
W02G9.2,CHROMOSOME_V:2683221-2688498,31.18,18.03,-0.79,0.0213
T25G12.7,CHROMOSOME_X:17230644-17235763,93.99,54.49,-0.79,0.0267
T05D4.1,CHROMOSOME_III:13563239-13564889,250.82,145.70,-0.78,0.0072
B0334.1,CHROMOSOME_II:11485445-11486710,250.31,145.78,-0.78,0.0190
B0496.8,CHROMOSOME_IV:7447844-7451434,13.29,7.75,-0.78,0.0404
T07C4.5,CHROMOSOME_III:10337745-10339341,1479.17,863.78,-0.78,0.0417
W07B8.5,CHROMOSOME_V:1132597-1133994,215.20,125.75,-0.78,0.0178
T06D8.9,CHROMOSOME_II:11239342-11247450,177.73,103.99,-0.77,0.0198
Y39B6A.1,CHROMOSOME_V:19200983-19203580,472.83,276.74,-0.77,0.0398
T25F10.6,CHROMOSOME_V:6765542-6768771,780.77,457.05,-0.77,0.0452
F08B12.4,CHROMOSOME_X:11406991-11407717,865.67,507.33,-0.77,0.0178
T13F3.6,CHROMOSOME_V:16270195-16271201,60.97,35.73,-0.77,0.0250
R04F11.2,CHROMOSOME_V:12318365-12332098,1722.84,1011.01,-0.77,0.0216
F46G10.1,CHROMOSOME_X:13309980-13311743,274.04,161.53,-0.76,0.0151
W09C5.6,CHROMOSOME_I:13652926-13653694,4944.54,2919.21,-0.76,0.0425
C26F1.7,CHROMOSOME_V:7760446-7761594,51.49,30.40,-0.76,0.0306
Y47G6A.22,CHROMOSOME_I:3559919-3562862,113.29,67.06,-0.76,0.0274
Y54G2A.18,CHROMOSOME_IV:2891554-2892495,418.86,248.00,-0.76,0.0205
R102.4,CHROMOSOME_IV:10691970-10695283,43.75,25.91,-0.76,0.0332
C33A12.1,CHROMOSOME_IV:9523730-9524878,298.17,176.66,-0.76,0.0246
F53A3.3,CHROMOSOME_III:1950482-1951418,3357.76,1990.17,-0.75,0.0264
Y71H2AM.13,CHROMOSOME_III:2734069-2739523,64.66,38.43,-0.75,0.0186
F23C8.6,CHROMOSOME_I:2420832-2421744,241.72,143.72,-0.75,0.0213
K07C11.5,CHROMOSOME_V:8201787-8202541,92.59,55.11,-0.75,0.0463
T08H10.1,CHROMOSOME_V:4483453-4486517,348.23,207.35,-0.75,0.0213
Y39A3CR.4,CHROMOSOME_III:1859878-1860365,289.38,172.31,-0.75,0.0290
F10C1.7,CHROMOSOME_II:5750167-5754121,171.64,102.35,-0.75,0.0213
F11E6.3,CHROMOSOME_IV:17470472-17471988,336.48,200.79,-0.74,0.0141
C10H11.6,CHROMOSOME_I:4721178-4723961,18.66,11.18,-0.74,0.0367
Y54G2A.6,CHROMOSOME_IV:2854343-2855454,273.86,164.39,-0.74,0.0297
T08G5.10,CHROMOSOME_V:14018256-14018628,689.30,413.86,-0.74,0.0271
T28F4.5,CHROMOSOME_I:7492041-7494696,963.88,579.18,-0.73,0.0419
F23C8.5,CHROMOSOME_I:2415134-2420406,668.91,402.87,-0.73,0.0230
Y67H2A.5,CHROMOSOME_IV:13300154-13300698,1216.62,733.67,-0.73,0.0220
C06B3.6,CHROMOSOME_V:13908113-13909499,176.01,106.46,-0.73,0.0274
F32B5.8,CHROMOSOME_I:2686641-2689475,970.22,587.21,-0.72,0.0489
F57B1.4,CHROMOSOME_V:13200967-13202175,690.78,418.81,-0.72,0.0358
F49E12.2,CHROMOSOME_II:8398108-8399109,458.71,278.42,-0.72,0.0444
T10H9.5,CHROMOSOME_V:6662173-6665798,80.85,49.14,-0.72,0.0257
K02D7.1,CHROMOSOME_IV:292428-294845,117.30,71.37,-0.72,0.0277
C53B7.4,CHROMOSOME_X:6841215-6842164,520.53,316.79,-0.72,0.0287
Y34B4A.6,CHROMOSOME_X:5252968-5255036,388.90,236.81,-0.72,0.0350
W01F3.2,CHROMOSOME_V:20660336-20662000,139.44,84.95,-0.72,0.0294
Y53F4B.30,CHROMOSOME_II:15164808-15165650,107.99,65.84,-0.71,0.0306
Y54F10AM.8,CHROMOSOME_III:2503437-2507964,56.75,34.64,-0.71,0.0253
F59B1.2,CHROMOSOME_V:3633325-3634672,560.04,341.88,-0.71,0.0287
R11H6.1,CHROMOSOME_V:14595252-14597052,222.95,136.15,-0.71,0.0242
H29C22.1,CHROMOSOME_X:9310557-9311267,177.79,108.74,-0.71,0.0355
F12B6.2,CHROMOSOME_I:2250132-2254894,30.00,18.38,-0.71,0.0460
F54D5.3,CHROMOSOME_II:11571736-11572962,1300.81,799.49,-0.70,0.0374
Y49E10.4,CHROMOSOME_III:12378887-12380511,24.88,15.31,-0.70,0.0469
M04G12.2,CHROMOSOME_V:13381175-13385885,69.30,42.68,-0.70,0.0264
R06B10.3,CHROMOSOME_III:1002695-1006236,211.66,130.53,-0.70,0.0352
F13E6.1,CHROMOSOME_X:10675635-10677048,118.10,72.84,-0.70,0.0306
ZC155.1,CHROMOSOME_III:5225581-5226765,851.63,525.27,-0.70,0.0436
C15F1.7,CHROMOSOME_II:6972669-6973850,747.62,464.27,-0.69,0.0387
Y75B12B.5,CHROMOSOME_V:15189907-15190910,978.61,608.70,-0.69,0.0417
K07A1.6,CHROMOSOME_I:9591971-9593094,245.23,152.85,-0.68,0.0450
VF13D12L.3,CHROMOSOME_II:11705926-11713548,146.27,91.17,-0.68,0.0250
W02D3.5,CHROMOSOME_I:6724917-6729379,1226.84,766.06,-0.68,0.0398
W07G4.5,CHROMOSOME_V:13047962-13049220,68.22,42.62,-0.68,0.0494
F44E5.1,CHROMOSOME_II:11774080-11774498,1608.90,1008.85,-0.67,0.0411
K05C4.2,CHROMOSOME_I:14720575-14724728,296.68,186.28,-0.67,0.0460
F40F8.5,CHROMOSOME_II:11132783-11134870,91.11,57.26,-0.67,0.0438
C16H3.2,CHROMOSOME_X:17600395-17601428,425.90,267.74,-0.67,0.0496
C32E8.3,CHROMOSOME_I:3786596-3787498,166.89,104.96,-0.67,0.0430
F57B10.14,CHROMOSOME_I:6552833-6553382,1805.32,1141.55,-0.66,0.0469
R12A1.4,CHROMOSOME_V:1427649-1432139,38.23,24.18,-0.66,0.0455
F46H6.1,CHROMOSOME_X:4508479-4510936,106.24,67.25,-0.66,0.0496
K08D12.3,CHROMOSOME_IV:1710256-1711140,1037.46,657.95,-0.66,0.0480
F41E6.2,CHROMOSOME_V:8619009-8619847,279.54,178.01,-0.65,0.0477
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
